기준_년분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,서비스_업종_코드,서비스_업종_코드_명,당월_매출_금액,당월_매출_건수,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_건수~06_매출_건수,시간대_건수~11_매출_건수,시간대_건수~14_매출_건수,시간대_건수~17_매출_건수,시간대_건수~21_매출_건수,시간대_건수~24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수
20233,A,골목상권,3110569,홍대땡땡거리,CS300035,인테리어,31137256,68,28893742,2243514,0,0,28893742,0,0,2243514,0,0,0,0,28893742,2243514,0,2243514,28893742,0,0,0,0,2243514,28893742,34,34,0,0,34,0,0,34,0,0,0,0,34,34,0,34,34,0,0,0,0,34,34
20233,A,골목상권,3110580,양원초등학교,CS100001,한식음식점,181751776,16536,142337322,39414454,30082565,35472008,26332803,23486438,26963508,23324191,16090263,223981,13030067,79775665,19687009,67396363,1638691,146832550,29911704,228250,8696339,13048817,12529075,45991901,96249872,12733,3803,2619,2456,2698,2475,2485,2213,1590,26,1247,8280,2031,4907,45,14232,1907,26,741,933,1128,3548,9764
20233,A,골목상권,3110580,양원초등학교,CS100010,커피-음료,8922403,1333,7078089,1844314,974366,1446495,2027528,1544508,1085192,1844314,0,0,374757,5367662,2923740,256244,0,3461211,4977532,0,792434,3132578,1771284,1425996,1316451,1031,302,199,256,205,204,167,302,0,0,38,802,487,6,0,487,813,0,192,488,276,236,108
20233,A,골목상권,3110580,양원초등학교,CS200028,미용실,13696584,524,9318803,4377781,1240428,513699,3227495,1578038,2759143,1983154,2394627,0,1038285,2369401,6058485,4230413,0,3688519,10008065,0,275651,976378,971523,4623277,6849755,332,192,37,7,131,72,85,116,76,0,64,148,154,158,0,152,372,0,10,33,56,186,239
20233,A,골목상권,3110580,양원초등학교,CS300011,일반의류,6155482,161,3372203,2783279,0,806747,0,2186285,379171,2783279,0,0,0,2573524,3041437,540521,0,1121379,5034103,0,564723,0,3226989,1306931,1056839,97,64,0,24,0,49,24,64,0,0,0,57,72,32,0,24,137,0,8,0,73,32,48
20233,A,골목상권,3110582,이대역 5번,CS100001,한식음식점,277647566,14582,219246050,58401516,47142316,42879910,41700807,38247860,49275157,36071399,22330117,2410223,7218412,72418679,30049939,107922372,57627941,154174808,107301005,1574932,41078044,57588577,56604430,60821497,43808333,11314,3268,2483,2249,2274,2071,2237,2001,1267,156,446,4368,1886,5534,2192,8217,6084,117,2530,3507,2997,3247,1903
20233,A,골목상권,3110582,이대역 5번,CS100005,제과점,5798336,1177,5262047,536289,1248284,918262,851034,964097,1280370,536289,0,0,2044315,2308639,1445382,0,0,1427353,4109714,0,820769,2419207,875244,955612,466235,1039,138,228,169,184,214,244,138,0,0,444,427,306,0,0,317,830,0,159,591,158,143,96
20233,A,골목상권,3110582,이대역 5번,CS100008,분식전문점,26006564,2939,23091318,2915246,4305234,4172999,5621085,3663568,5328432,2915246,0,0,3357909,11621098,3810978,7216579,0,10263543,14264587,433451,6643417,7719880,3083262,4176846,2471273,2644,295,559,464,637,443,541,295,0,0,303,1347,447,842,0,1214,1700,61,830,953,344,479,248
20233,A,골목상권,3110582,이대역 5번,CS100010,커피-음료,5051194,413,4209328,841866,530253,795701,1511255,757871,614248,829042,12824,0,160294,1406102,1743361,1741437,0,868563,3884483,235074,1981704,1118966,612473,767002,37829,331,82,22,68,107,54,80,76,6,0,3,86,144,180,0,65,345,9,224,77,49,48,3
20233,A,골목상권,3110582,이대역 5번,CS200028,미용실,62661527,1969,42830043,19831484,10171503,4462660,10772242,8619235,8804403,13617240,6214244,0,1141527,17655634,22082326,20992108,789932,30899638,31216434,1916655,7677151,5212941,12313402,14068098,20927826,1354,615,333,156,332,249,284,462,153,0,83,535,683,655,13,1039,912,32,250,243,337,437,650
20233,A,골목상권,3110582,이대역 5번,CS200030,피부관리실,37163515,258,34285944,2877571,1169642,7715910,6498363,4522459,14379570,2877571,0,0,0,1451981,9017335,22401269,4292930,4851082,32312433,0,3980615,8380202,14020100,10652638,129960,210,48,18,52,39,60,41,48,0,0,0,31,74,130,23,22,236,0,66,64,61,58,9
20233,A,골목상권,3110582,이대역 5번,CS200031,세탁소,31550791,1985,20236137,11314654,3304856,5014263,3093215,4623543,4200260,4314221,7000433,2442012,2832733,3907218,5453827,8840082,8074919,13268263,18282528,814005,15873075,9133123,1758249,2669933,1302406,1252,733,243,309,196,276,228,277,456,114,196,277,358,551,489,814,1171,82,1106,520,65,130,82
20233,A,골목상권,3110582,이대역 5번,CS200032,가전제품수리,654836987,6652,587949919,66887068,103647319,113016388,129673174,122918244,118694794,63327857,3559211,0,158766286,175331454,169982679,150756568,0,277997849,311186940,338593,26544700,87594025,160370620,125412878,188923973,5745,907,1075,1125,1305,1215,1025,797,110,0,1713,1853,1971,1115,0,2749,3287,10,349,936,1454,1345,1942
20233,A,골목상권,3110582,이대역 5번,CS200037,노래방,23571138,351,12147340,11423798,3041241,3575967,1470275,2832583,1227274,5059281,6364517,6006448,0,0,316571,5562315,11685804,20532369,2539777,358845,2143623,2405096,2512390,10359349,5292844,200,151,48,39,33,61,19,84,67,116,0,0,5,49,181,244,98,14,52,74,21,123,57
20233,A,골목상권,3110582,이대역 5번,CS300002,편의점,1175049507,175069,813009367,362040140,155327813,175558034,162651887,159680394,159791239,205795257,156244883,218594633,141154099,106517185,132951899,305597566,270234125,780749517,394299990,18452989,319418405,225949502,261940333,225360439,123927839,122835,52234,23927,24829,24751,24120,25208,28661,23573,27102,23511,18162,21181,46213,38900,112047,63022,4635,59953,33542,30727,31609,14603
